
slap slap
slash slash
slat slate
slaten slattern
slote~ slaughter
slav slave
sled sled
slej sledge
slek sleek
slep sleep
slepr sleepr
? slepe~n sleepiness
slepl sleepless
slev sleeve
slevl sleeveless
sla sleigh
sli sleight

# Page 167 Column 1
slend slender
sluth sleuth
slis slice
slid slide
sli slight
slit-n slightness
slem slim
slim slime
slim-n slimness
slime slimy
sleng sling
slep slip
slepr slipper
slepren slipperiness
slepre slippery
slet slit
slevr sliver
slogn slogan
slup sloop
slop slope
slot slot
slothf slothful
slauch slouch
slau slough
sluvn sloven
sluvnen slovenliness
slo slow

# Page 167 Column 2
slon slowness
sluga~d sluggard
slugesh sluggish
slus sluice
slusa_ sluiceway
slm slum
slmb slumber
slmb^r slumberer
slmp slump
slr slur
slr^t slurred
slsh slush
sli sly
sla&e slyly
slin slyness
smak smack
smo small
smon smallness
smopox smallpox
sma~t smart
sma~t-n smartness
smash smash
smate~ smatter
sme~ smear
smel smell
smelt smelt
smilax smilax

# Page 167 Column 3
smi~ smile
smi~^e smilingly
smerch smirch
smit smite
smeth smith
smok smoke
smokl smokeless
smokr smoker
smoken smokiness
smoldr smolder
smuth smooth
smuthn smoothness
smuth smother
smuj smudge
smugl smuggle
snag snag
snal snail
snak snake
snap snap
snapr snapper
snapesh snappish
snarl snarl
snach snatch
snek sneak
sne~ sneer
sne~^r sneerer
snez sneeze

# Page 168 Column 1
snekr snicker
snef sniff
snep snip
snevl snivel
snobre snobbery
snobesh snobbish
snobeshn snobbishness
snor snore
snort snort
snobol snowball
sno,e snowy
snub snub
snuf snuff
snug snug
snugn snugness
sok soak
sop soap
sor soar
sobr sober
sobra&ete sobriety
sobreka sobriquet
sosh^b sociability
soshb sociable
soshbn sociableness
sosh social
soshsm socialism
soshst socialist

# Page 168 Column 2
? ss( society
? sosh^o sociology
soket socket
sokr^a socratic
soda soda
sod^l sodality
sodn sodden
sodem sodium
sofa sofa
soft soft
sofn soften
sofne~ softener
sofnes softness
soge soggy
soel soil
soeld soild
sa_ra soiree
soje~n sojourn
solas solace
solr solar
solriz solarize
sold sold
sode~ solder
solje~ soldier
solss solecism
sole solely
solem solemn

# Page 168 Column 3
solem^nt solemnity
solemezsh solemnization
solemiz solemnize
solem-n solemnness
solest solicit
solestsh solicitation
solestr solicitor
solestus solicitous
solestu solicitude
soled solid
soled^r solidarity
soledf solidify
soledte solidity
soled-n solidness
soleliz soliloquize
solel soliloquy
soleta~ solitaire
soletre solitary
soletu solitude
solost soloist
solstes solstice
sol^b solubility
solb soluble
solsh solution
solv^b solvability
solvb solvable
solv solve

# Page 169 Column 1
solvnse solvency
solvnt solvent
sombr somber
sombrn somberness
sombraro sombrero
smbo somebody
smau somehow
smersot somersault
sm' something
stms sometimes
smot somewhat
sma~ somewhere
som-namb somnambular
somnamb^ush somnambulation
som-nambesh somnambulist
som-nlent somnolent
sn son
sonant sonant
sonata sonata
song song
songf songful
songste~ songster
songstres songstress
snlo son-in-law
sonet sonnet
sonorus sonorous
sn soon

# Page 169 Column 2
sut soot
suth soothe
sofesm sophism
sofes sophist
sof^stl sophistical
sof^stat sophisticate
sofestre sophistry
sofmor sophomore
